01072020,3
01042020,3
01012020,4
01102019,8
01072019,6
01042019,7
01012019,6
01102018,9
01072018,6
01042018,6
01012018,6
01102017,7
01072017,6
01042017,7
01012017,6
01102016,7
01072016,5
01042016,7
01012016,5
01102015,7
01072015,5
01042015,6
01012015,6
01102014,8
01072014,5
01042014,7
01012014,5
01102013,9
01072013,6
01042013,6
01012013,6
01102012,7
01072012,6
01042012,6
01012012,5
01102011,7
01072011,5
01042011,7
01012011,6
01102010,7
01072010,5
01042010,8
01012010,6
01102009,7
01072009,5
01042009,6
01012009,5
01102008,6
01072008,5
01042008,7
01012008,5
01102007,7
01072007,5
01042007,7
01012007,5
01102006,6
01072006,5
01042006,5
01012006,3
01102005,4
01072005,3
01042005,6
01012005,4
01102004,6
01072004,3
01042004,4
01012004,3
01102003,3
01072003,2
01042003,3
01012003,3
01102002,3
01072002,2
01042002,3
01012002,3
01102001,2
01072001,2
01042001,3
01012001,2
01102000,3
01072000,2
01042000,2
01012000,2
01101999,3
01071999,2
01041999,2
01011999,2
01101998,2
01071998,1
01041998,2
01011998,2
01101997,2
01071997,1
01041997,2
01011997,2
